epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4700.82,0.83797,0.49465,0.91112,0.96066,0.86717,0.93635,0.69336,0.87495,0.47778,0.98341,1.8676e-05,1.8676e-05,1.8676e-05
90,4753.31,0.83226,0.48917,0.90759,0.96204,0.867,0.93682,0.69262,0.87391,0.47803,0.98304,1.72405e-05,1.72405e-05,1.72405e-05
91,4806.1,0.78776,0.45588,0.90242,0.96381,0.85904,0.93304,0.68638,0.89192,0.4852,0.98844,1.5805e-05,1.5805e-05,1.5805e-05
92,4858.15,0.78123,0.45346,0.90245,0.94595,0.87211,0.93492,0.68712,0.89174,0.48363,0.98836,1.43695e-05,1.43695e-05,1.43695e-05
93,4910.19,0.7756,0.45018,0.90241,0.95548,0.86461,0.93477,0.68642,0.88909,0.48272,0.98706,1.2934e-05,1.2934e-05,1.2934e-05
94,4962.18,0.77269,0.4473,0.89572,0.95245,0.8727,0.93553,0.6874,0.88956,0.48239,0.98749,1.14985e-05,1.14985e-05,1.14985e-05
95,5014.2,0.77379,0.44891,0.89751,0.95139,0.87382,0.93555,0.68866,0.88871,0.48233,0.98832,1.0063e-05,1.0063e-05,1.0063e-05
96,5066.22,0.77203,0.44812,0.89895,0.95169,0.87476,0.9357,0.68846,0.88711,0.48179,0.9884,8.6275e-06,8.6275e-06,8.6275e-06
97,5118.24,0.77502,0.44903,0.89876,0.95099,0.8741,0.93635,0.68827,0.88703,0.48161,0.98866,7.192e-06,7.192e-06,7.192e-06
98,5170.24,0.77415,0.44633,0.89818,0.95467,0.87085,0.93519,0.68787,0.88871,0.48227,0.98954,5.7565e-06,5.7565e-06,5.7565e-06
99,5222.25,0.7704,0.44595,0.89713,0.95196,0.8715,0.93599,0.68661,0.88891,0.4825,0.98914,4.321e-06,4.321e-06,4.321e-06
100,5274.26,0.76983,0.44553,0.89812,0.95104,0.87155,0.9363,0.68886,0.88585,0.48101,0.98836,2.8855e-06,2.8855e-06,2.8855e-06
