epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6381.02,0.35421,0.3886,0.83556,0.82943,0.90134,0.83945,0.78574,0.32553,0.54056,0.89654,0.004258,0.004258,0.004258
60,6489.51,0.35296,0.38566,0.83587,0.83253,0.89767,0.84018,0.78694,0.32443,0.5409,0.89672,0.004159,0.004159,0.004159
61,6600.88,0.35159,0.38253,0.83387,0.83381,0.89533,0.8406,0.7873,0.32482,0.54011,0.89757,0.00406,0.00406,0.00406
62,6711.87,0.35053,0.3813,0.83386,0.82958,0.90095,0.84123,0.78873,0.32368,0.53794,0.89624,0.003961,0.003961,0.003961
63,6823.51,0.34738,0.37833,0.83341,0.83225,0.89844,0.84098,0.78815,0.32316,0.54048,0.89448,0.003862,0.003862,0.003862
64,6941.83,0.3476,0.37606,0.83282,0.83165,0.89913,0.84069,0.78816,0.32216,0.54033,0.89469,0.003763,0.003763,0.003763
65,7062.07,0.34502,0.37576,0.83155,0.83263,0.89777,0.84117,0.78868,0.32237,0.53971,0.89638,0.003664,0.003664,0.003664
66,7173.77,0.34471,0.3745,0.83161,0.83095,0.90039,0.84158,0.78925,0.32188,0.54091,0.89646,0.003565,0.003565,0.003565
67,7286.93,0.34228,0.37114,0.83187,0.83238,0.89716,0.8411,0.78875,0.32007,0.54019,0.89459,0.003466,0.003466,0.003466
68,7396.02,0.34223,0.3695,0.83141,0.82877,0.90239,0.84121,0.78889,0.31911,0.54099,0.89515,0.003367,0.003367,0.003367
69,7510.54,0.33858,0.36678,0.83085,0.83039,0.90215,0.84046,0.78928,0.31821,0.53879,0.89522,0.003268,0.003268,0.003268
70,7623.34,0.33658,0.36387,0.83051,0.83101,0.90115,0.84122,0.78999,0.31888,0.53978,0.89705,0.003169,0.003169,0.003169
71,7735.7,0.3348,0.36043,0.82893,0.83141,0.89961,0.84144,0.79026,0.31777,0.53856,0.89527,0.00307,0.00307,0.00307
72,7847.78,0.33444,0.3633,0.8279,0.82785,0.90432,0.84164,0.79043,0.31733,0.53881,0.89451,0.002971,0.002971,0.002971
