epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,13280.5,0.41644,0.57569,0.80066,0.84586,0.87493,0.85624,0.80839,0.31897,0.45861,0.80048,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,13529,0.41327,0.57242,0.80052,0.84595,0.87483,0.85646,0.80867,0.31841,0.45836,0.80039,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13777.6,0.41214,0.57079,0.80011,0.84599,0.87531,0.85654,0.80876,0.31798,0.45797,0.80039,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14026.3,0.40959,0.56726,0.7996,0.84543,0.87591,0.85682,0.80908,0.31761,0.45781,0.80034,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14275,0.4076,0.56543,0.79949,0.84585,0.87596,0.8569,0.80917,0.31719,0.45746,0.80034,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,14523.7,0.40703,0.56449,0.7996,0.84606,0.87575,0.85708,0.80936,0.31668,0.45704,0.80032,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,14772.4,0.40575,0.56262,0.79925,0.84663,0.8755,0.85722,0.80972,0.31634,0.4567,0.80035,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,15021,0.4031,0.55739,0.79868,0.84697,0.87545,0.85732,0.81003,0.31589,0.45649,0.80032,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,15269.8,0.40152,0.55751,0.79924,0.84699,0.87593,0.85741,0.81021,0.31543,0.45614,0.80032,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,15518.7,0.40126,0.55739,0.79867,0.84616,0.87704,0.85745,0.81058,0.31497,0.45588,0.80027,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,15767.5,0.39964,0.55119,0.7985,0.84587,0.87749,0.85754,0.81075,0.31465,0.4557,0.80026,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,16016.1,0.39954,0.55177,0.79809,0.8445,0.87863,0.8576,0.81094,0.3143,0.45547,0.80025,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,16264.8,0.39723,0.55027,0.7974,0.84574,0.87774,0.8577,0.81102,0.31392,0.45521,0.80021,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,16513.6,0.39636,0.5474,0.79754,0.84566,0.8778,0.85776,0.81122,0.31344,0.45488,0.80019,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,16762.3,0.39299,0.54298,0.797,0.84639,0.87715,0.85797,0.81144,0.31315,0.45477,0.80014,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,17011,0.39315,0.54154,0.79709,0.84658,0.87667,0.85807,0.81163,0.31276,0.45445,0.80007,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,17259.6,0.3914,0.53822,0.79676,0.84602,0.87765,0.85798,0.81167,0.31234,0.45422,0.80004,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,17508.4,0.38954,0.53497,0.79613,0.84636,0.87721,0.85805,0.81187,0.31199,0.45395,0.79999,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,17757,0.38778,0.53556,0.79631,0.84615,0.87738,0.858,0.81183,0.31149,0.45376,0.79992,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,18005.7,0.3867,0.53239,0.7964,0.84609,0.87757,0.8581,0.812,0.31118,0.45348,0.79988,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,18254.7,0.38698,0.53206,0.7963,0.8458,0.878,0.85808,0.81216,0.31084,0.45348,0.79989,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,18503.5,0.38527,0.52821,0.79577,0.84568,0.87819,0.85809,0.81219,0.31039,0.45324,0.79984,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,18752.2,0.38338,0.52712,0.79547,0.84564,0.87815,0.8581,0.81236,0.31007,0.45296,0.79981,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,19001.1,0.38264,0.5233,0.79506,0.84586,0.87815,0.85819,0.81251,0.30976,0.45289,0.79976,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,19250,0.38226,0.52257,0.79577,0.84623,0.87793,0.85826,0.81259,0.3094,0.45257,0.79972,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,19498.7,0.3791,0.51762,0.79483,0.84696,0.87724,0.85822,0.81273,0.30904,0.45241,0.79967,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,19747.4,0.37792,0.5163,0.79477,0.84699,0.87704,0.85807,0.81275,0.30871,0.4524,0.79962,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,19996.2,0.37619,0.51288,0.79399,0.84788,0.87636,0.85809,0.81271,0.30848,0.45231,0.79959,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,20245,0.37541,0.51152,0.79401,0.84662,0.87774,0.85813,0.81286,0.30821,0.45225,0.79954,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,20493.7,0.37293,0.50741,0.79372,0.84814,0.8765,0.85813,0.81302,0.30789,0.45211,0.79949,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,20742.7,0.37277,0.50621,0.79347,0.84836,0.87631,0.85808,0.81312,0.30758,0.45195,0.79944,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,20991.3,0.37039,0.5022,0.79319,0.84844,0.87651,0.85813,0.81308,0.30721,0.45205,0.79938,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,21240.1,0.36832,0.49735,0.79294,0.8484,0.87656,0.85815,0.81319,0.30689,0.4519,0.79933,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,21488.8,0.36878,0.49623,0.79311,0.84794,0.87694,0.85814,0.81329,0.30664,0.45197,0.79925,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,21737.7,0.36694,0.49316,0.79257,0.84798,0.87669,0.85806,0.81328,0.30619,0.45176,0.79918,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,21986.5,0.36712,0.49347,0.79298,0.84794,0.87672,0.85803,0.81341,0.3058,0.45169,0.79909,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,22235.3,0.36436,0.48844,0.79209,0.84789,0.87661,0.85798,0.81339,0.30551,0.45171,0.799,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
